question_id,answer
262148000," He is looking at the crowd.
"
262148001," They are watching the skateboarder jump over the bench
"
262148002," A skateboard
"
393225000," The website is www.thebaker.com
"
393225001," Yes, it is a creamy soup.
"
393225002," Yes, it is.
"
393225003," A bowl of noodles and shrimp
"
393226000," He is crossing the street to get to the ice cream truck
"
393226001," 1
"
393226002," Ice cream
"
240301000," The cows are in the barn.
"
240301001," No, it is not daylight in this picture.
"
240301002," The cow is laying down because it is tired.
"
131089000," Green
"
131089001," No, the batter missed the ball
"
131089002," One.
"
131089003," Yes, there is a fence in the image
"
131089004," Yes, he is playing baseball
"
262162000," Yes, it is a folding chair.
"
262162001," One bed
"
262162002," The bedspread is a light blue color
"
262162003," There are a lot of pictures in this room.
"
262162004," Yes, they are twin mattresses
"
262162005," The image shows a bedroom with a desk and a bed
"
262162006," Yes, it is.
"
262162007," Yes, the lights are on in this room.
"
262162008," Yes, the windows are big.
"
262162009," A leather chair
"
262162010," Yes
"
262162011," This is a bedroom.
"
262162012," Yes, the bed is white.
"
262162013," No, this is a bedroom.
"
262162014," Yes, the bed is made.
"
262162015," Yes, there are bed headboards present in the photo.
"
262162016," No, there is not a mirror in the room.
"
262162017," A bedroom
"
262162018," One
"
262162019," No, the desk is not cluttered.
"
262162020," Yes, the bed has been made.
"
262162021," Two
"
262162022," The number of frames on the wall is three.
"
262162023," The walls are a light blue color
"
262162024," No, there are no boxes in the room.
"
262162025," Yes, it could be a multi-purpose room.
"
262162026," A chair
"
262162027," A desk and chair
"
262162028," The bed is a queen size bed
"
262162029," Three
"
393243000," Yes, he will.
"
393243001," A donut.
"
393243002," No, this person is not wearing a tie.
"
393243003," Blonde
"
262175000," Yes, it is purple.
"
262175001," In the woods
"
262175002," A tie with a leaf on it.
"
262175003," Yes, it is a designer tie.
"
131108000," No, it is black and white.
"
131108001," It opens outward
"
131108002," Yes, there is a drainage in the pic
"
393254000," This is camping, this is ridiculous.
"
393254001," It is a motor home.
"
393254002," This is a picture of a tent in a campground
"
42000," Brown
"
42001," Yes, there is a red sandal here.
"
42002," Brown
"
131115000," Yes, there are players in the dugout.
"
131115001," Yes, the batter is looking at the ball
"
131115002," One person is on the field.
"
262189000," Four street signs
"
262189001," The Salisbury Rd. sign is a yellow sign
"
262189002," It says ""salisbury rd""
"
393266000," The sign is red.
"
393266001," The car is going to the right.
"
393266002," The plant is green.
"
393267000," It is black
"
393267001," Wine
"
393267002," Because they are at a wine tasting.
"
393267003," A wine tasting event
"
262197000," There are two.
"
262197001," The building is brown
"
262197002," Yes, there is a tree in front of the building
"
262197003," Yes, there is a person riding a bike
"
262197004," Yes, there are lights on in the two buildings
"
262197005," The building on the left is a two story building
"
262197006," No, it is a building.
"
262197007," Two
"
262197008," The building on the right is a large building with two towers.
"
262197009," The boy is walking on the sidewalk in front of the building
"
262197010," Two modes of transportation are depicted in this image.
"
262197011," Brown
"
393271000," Yes, it is still snowing in the picture.
"
393271001," Yes, it does.
"
393271002," There are four people in the picture.
"
262200000," Yes, it is a birthday party for a child
"
262200001," A birthday party
"
262200002," The woman is lighting the candles on the cake
"
393274000," A train
"
393274001," Yes, the train is hooked up to the tracks.
"
