question_id,answer
262148000," He is looking at the crowd.
"
262148001," They are watching the skateboarder perform a trick
"
262148002," A skateboard
"
393225000," Answer.com
"
393225001," Yes, it is a creamy soup.
"
393225002," Yes, it is.
"
393225003," A bowl of soup with noodles, meat, and vegetables
"
393226000," He is crossing the street to get to the ice cream truck
"
393226001," One
"
393226002," Ice cream
"
240301000," The cows are laying down in the hay.
"
240301001," Yes, it is daylight in this picture.
"
240301002," The cow is laying down because it is tired.
"
131089000," Green
"
131089001," Yes
"
131089002," One.
"
131089003," Yes
"
131089004," Yes
"
262162000," Yes, it is a folding chair.
"
262162001," Two
"
262162002," Beige
"
262162003," There are a lot of pictures in this room.
"
262162004," Yes, they are twin mattresses
"
262162005," Two
"
262162006," Yes, it is.
"
262162007," Yes
"
262162008," Yes, they are big.
"
262162009," A chair
"
262162010," Yes
"
262162011," This is a bedroom
"
262162012," Yes, the bed is white.
"
262162013," No, this is a bedroom.
"
262162014," Yes
"
262162015," Yes, there are bed headboards present in the photo.
"
262162016," Yes
"
262162017," A bedroom
"
262162018," There are two chairs in the photo.
"
262162019," Yes, the desk is cluttered.
"
262162020," Yes, the bed has been made.
"
262162021," There are four seats in this room.
"
262162022," The answer is:
"
262162023," The walls are beige
"
262162024," Yes, there are boxes in the room.
"
262162025," Yes, it could be a multi-purpose room.
"
262162026," A chair that is made of animal print
"
262162027," A desk and a chair
"
262162028," The bed is a twin size bed
"
262162029," Three
"
393243000," Yes, he will.
"
393243001," A donut
"
393243002," No
"
393243003," Blonde
"
262175000," Yes
"
262175001," In the woods
"
262175002," A tie
"
262175003," Yes, it is a tie made of leaves
"
131108000," No, this is a black and white photo
"
131108001," Inward
"
131108002," Yes
"
393254000," This is camping.
"
393254001," This is camping
"
393254002," This is camping.
"
42000," Brown
"
42001," Yes, there is a red sandal here.
"
42002," Brown
"
131115000," Yes
"
131115001," Yes
"
131115002," 1
"
262189000," 4
"
262189001," Green
"
262189002," It says ""SALISBURY""
"
393266000," Red
"
393266001," You can turn right in the tunnel.
"
393266002," The plant is green
"
393267000," Black
"
393267001," Wine
"
393267002," To hide their faces from the camera.
"
393267003," A wine tasting event
"
262197000," There are two.
"
262197001," The building in the background is a large brown building
"
262197002," Yes
"
262197003," Yes
"
262197004," Yes, there are lights on in the two buildings
"
262197005," The building on the left is a building with two stories.
"
262197006," No, this is a building
"
262197007," Two
"
262197008," The building on the right is painted with three colors.
"
262197009," The boy is walking on the sidewalk in front of the building
"
262197010," Two
"
262197011," The building is brown
"
393271000," Yes, it is still snowing in the picture.
"
393271001," Yes, it does.
"
393271002," 6
"
262200000," Yes, this is an adult party.
"
262200001," A birthday party
"
262200002," The children
"
393274000," A train
"
393274001," Yes
"
393274002," Yes
"
393274003," A train on a track
"
393274004," The train is on the tracks
"
393274005," No
"
393274006," Yes
"
393274007," Yes, the train tracks are clear.
"
131131000," A cat
"
131131001," The cat is looking at the tv
"
131131002," Two
"
393277000," Yes, there are tour buses in the image.
"
393277001," The clock tower
"
393277002," Yes
"
393277003," The car is a 1950's model
"
393277004," The sky is blue
"
393277005," It is 4:30pm
"
393277006," Yes, there are a lot of people milling around.
"
393277007," Yes
"
393277008," It is cloudy and raining.
"
393277009," The building is a clock tower
"
393277010," It is now
"
393277011," Yes, it does rain a lot.
"
393277012," The clock tower of the old town hall
"
393277013," No, it is a clock tower
"
393277014," Yes
"
393277015," The dome is a light blue color
"
393277016," A clock tower
"
393282000," No, the giraffe is a grown giraffe
"
393282001," Two giraffes
"
393282002," Yes, the animals are in the shade.
"
393282003," Two giraffes
"
393282004," Yes
"
393282005," The giraffes are in the shade of the pavilion.
"
393282006," No, they will be eating the grass for lunch.
"
393282007," Yes, there is a body of water in the picture.
"
393282008," The giraffe is looking at the camera.
"
393282009," Two giraffe are pictured
"
393282010," In the wild.
"
393282011," These are giraffes
"
393284000," No, this is a snow scene.
"
393284001," A snowboard
"
393284002," He is snowboarding
"
393284003," Snowboarding
"
393284004," Yes
"
393284005," No, there is no snow on the trees.
"
393284006," Yes, he is flying.
"
393284007," Yes
"
393284008," A red jacket
"
393284009," He is snowboarding
"
393284010," The pattern is a snowboarder's helmet
"
393284011," Yes
"
393284012," Snowboarding
"
393284013," A snowboarder in mid-air
"
393284014," Yes
"
393284015," Red
"
393288000," St Mary's church, london
"
393288001," The dome shaped roof is red
"
393288002," Red
"
393288003," St Mary's church, st john's road, surrey
"
393288004," The church of st john the evangelist, london
"
524361000," The bird is on the wheel of the motorcycle
"
524361001," One
"
524361002," The bird is a black and white bird.
"
74000," No, this dog does not have a collar.
"
74001," On the sidewalk
"
74002," Sleeping
"
131152000," No, they are not wearing a wetsuit.
"
131152001," The waves are very small.
"
131152002," One person is surfing on a surfboard
"
131152003," Yes, they are.
"
262227000," Yes
"
262227001," A sign that says ""open""
"
262227002," Yes
"
262227003," Green
"
262228000," The ground is made of dirt
"
262228001," To prevent theft
"
262228002," Bicycles
"
262228003," Yes, they are.
"
262228004," In front of the building
"
262228005," A bike rack
"
262229000," A soccer ball
"
262229001," Soccer
"
262229002," No, they are not professionals.
"
262229003," There are three babies in the image.
"
262229004," Women
"
262229005," The girls are wearing headbands
"
262229006," A soccer game
"
131159000," In the car
"
131159001," Yes, the bear is real.
"
131159002," Yellow
"
262235000," She is smiling
"
262235001," The curtain
"
262235002," White
"
262235003," A white scarf
"
262235004," A woman sitting on a couch
"
262235005," Woman
"
262235006," She is talking on the phone.
"
524382000," The dogs are hounds.
"
524382001," The dogs are in a pen.
"
524382002," Yes, all the dogs are looking in the same direction.
"
262242000," The tennis ball
"
262242001," The net
"
262242002," Yes
"
262242003," Green
"
262242004," No, they are not tired.
"
262242005," Yes
"
262242006," Yes
"
262242007," Yes
"
262242008," No, they are not professional tennis players.
"
131171000," Yes, it is bread.
"
131171001," Two
"
131171002," Yes, it does.
"
262161000," Two
"
262161001," Yes, it is new.
"
262161002," Yes, the grass is bright green.
"
262161003," A motorcycle
"
262161004," The number is the year of manufacture.
"
262161005," The number is the year of the motorcycle.
"
262161006," The maker of the scooter is ducati
"
262161007," Silver
"
262161008," The bike in the foreground has a single seat.
"
262161009," No, the motorcycle is parked in the grass.
"
262161010," That is a motorcycle
"
262161011," Silver
"
